trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,direction_id,stop_name,stop_lat,stop_lon
2729133_3220,04:58:00,04:58:00,5263,1,0,0,0.0,1,1,200 Turk/Cullen,30.163367,-97.791351
2729133_3220,04:59:41,04:59:41,6479,2,0,0,0.4377,0,1,305 Slaughter/Alice Mae,30.167797,-97.79335
2729133_3220,05:00:27,05:00:27,5968,3,0,0,0.6388,0,1,324 Slaughter/Francia,30.169519,-97.795847
2729133_3220,05:01:43,05:01:43,6407,4,0,0,0.9725,0,1,603 Slaughter/1st,30.172829,-97.799722
2729133_3220,05:02:55,05:02:55,5416,5,0,0,1.2864,0,1,Slaughter/Simonetti,30.174173,-97.804467
2729133_3220,05:03:24,05:03:24,3766,6,0,0,1.4102,0,1,818 Slaughter/Palace,30.174142,-97.806358
2729133_3220,05:04:11,05:04:11,2933,7,0,0,1.6161,0,1,Slaughter/United Kingdom,30.174099,-97.809607
2729133_3220,05:05:25,05:05:25,2934,8,0,0,1.9373,0,1,Slaughter/Texas Oaks,30.173995,-97.814789
2729133_3220,05:05:56,05:05:56,2935,9,0,0,2.0725,0,1,1312 Slaughter/Bilbrook,30.173971,-97.816864
2729133_3220,05:08:00,05:08:00,3754,10,0,0,2.6121,1,1,9700 Menchaca/Slaughter,30.175459,-97.822734
2729133_3220,05:08:58,05:08:58,3777,11,0,0,2.9441,0,1,9303 Menchaca/Sedgemoor,30.179446,-97.820242
2729133_3220,05:10:40,05:10:40,4415,12,0,0,3.5294,0,1,8509 Menchaca/Dittmar,30.186654,-97.815648
2729133_3220,05:11:51,05:11:51,3778,13,0,0,3.9354,0,1,8125 Menchaca/Breyfogle,30.191575,-97.812505
2729133_3220,05:12:44,05:12:44,3779,14,0,0,4.2341,0,1,Menchaca/Keilbar,30.195119,-97.810248
2729133_3220,05:13:26,05:13:26,4426,15,0,0,4.4752,0,1,7317 Menchaca/Gaines Mill,30.197956,-97.808456
2729133_3220,05:14:28,05:14:28,750,16,0,0,4.8297,0,1,Menchaca/William Cannon SE Corner,30.202687,-97.806816
