service_id,date,exception_type
1-157,20230831,1
1-157,20230901,1
1-157,20230905,1
1-157,20230906,1
1-157,20230907,1
1-157,20230908,1
1-157,20230911,1
1-157,20230912,1
1-157,20230913,1
1-157,20230914,1
1-157,20230915,1
1-157,20230918,1
1-157,20230919,1
1-157,20230920,1
1-157,20230921,1
1-157,20230922,1
1-157,20230925,1
1-157,20230926,1
1-157,20230927,1
1-157,20230928,1
1-157,20230929,1
1-157,20231002,1
1-157,20231003,1
1-157,20231004,1
1-157,20231005,1
1-157,20231006,1
1-157,20231009,1
1-157,20231010,1
1-157,20231011,1
1-157,20231012,1
1-157,20231013,1
1-157,20231016,1
1-157,20231017,1
1-157,20231018,1
1-157,20231019,1
1-157,20231020,1
1-157,20231023,1
1-157,20231024,1
1-157,20231025,1
1-157,20231026,1
1-157,20231027,1
1-157,20231030,1
1-157,20231031,1
1-157,20231101,1
1-157,20231102,1
1-157,20231103,1
1-157,20231106,1
1-157,20231107,1
1-157,20231108,1
1-157,20231109,1
1-157,20231110,1
1-157,20231113,1
1-157,20231114,1
1-157,20231115,1
1-157,20231116,1
1-157,20231117,1
1-157,20231120,1
1-157,20231121,1
1-157,20231122,1
1-157,20231127,1
1-157,20231128,1
1-157,20231129,1
1-157,20231130,1
1-157,20231201,1
1-157,20231204,1
1-157,20231205,1
1-157,20231206,1
1-157,20231207,1
1-157,20231208,1
1-157,20231211,1
1-157,20231212,1
1-157,20231213,1
1-157,20231214,1
1-157,20231215,1
1-157,20231218,1
1-157,20231219,1
1-157,20231220,1
1-157,20231221,1
1-157,20231222,1
1-157,20231226,1
1-157,20231227,1
1-157,20231228,1
1-157,20231229,1
1-157,20240102,1
1-157,20240103,1
1-157,20240104,1
1-157,20240105,1
1-157,20240108,1
1-157,20240109,1
1-157,20240110,1
1-157,20240111,1
1-157,20240112,1
2-157,20230902,1
2-157,20230909,1
2-157,20230916,1
2-157,20230923,1
2-157,20230930,1
2-157,20231007,1
2-157,20231014,1
2-157,20231021,1
2-157,20231028,1
2-157,20231104,1
2-157,20231111,1
2-157,20231118,1
2-157,20231125,1
2-157,20231202,1
2-157,20231209,1
2-157,20231216,1
2-157,20231223,1
2-157,20231230,1
2-157,20240106,1
2-157,20240113,1
3-157,20230903,1
3-157,20230904,1
3-157,20230910,1
3-157,20230917,1
3-157,20230924,1
3-157,20231001,1
3-157,20231008,1
3-157,20231015,1
3-157,20231022,1
3-157,20231029,1
3-157,20231105,1
3-157,20231112,1
3-157,20231119,1
3-157,20231123,1
3-157,20231124,1
3-157,20231126,1
3-157,20231203,1
3-157,20231210,1
3-157,20231217,1
3-157,20231224,1
3-157,20231225,1
3-157,20231231,1
3-157,20240101,1
3-157,20240107,1
4-157,20230905,1
4-157,20230906,1
4-157,20230907,1
4-157,20230908,1
4-157,20230911,1
4-157,20230912,1
4-157,20230913,1
4-157,20230914,1
4-157,20230915,1
4-157,20230918,1
4-157,20230919,1
4-157,20230920,1
4-157,20230921,1
4-157,20230922,1
4-157,20230925,1
4-157,20230926,1
4-157,20230927,1
4-157,20230928,1
4-157,20230929,1
4-157,20231002,1
4-157,20231003,1
4-157,20231004,1
4-157,20231005,1
4-157,20231006,1
4-157,20231009,1
4-157,20231010,1
4-157,20231011,1
4-157,20231012,1
4-157,20231013,1
4-157,20231016,1
4-157,20231017,1
4-157,20231018,1
4-157,20231019,1
4-157,20231020,1
4-157,20231023,1
4-157,20231024,1
4-157,20231025,1
4-157,20231026,1
4-157,20231027,1
4-157,20231030,1
4-157,20231031,1
4-157,20231101,1
4-157,20231102,1
4-157,20231103,1
4-157,20231106,1
4-157,20231107,1
4-157,20231108,1
4-157,20231109,1
4-157,20231110,1
4-157,20231113,1
4-157,20231114,1
4-157,20231115,1
4-157,20231116,1
4-157,20231117,1
4-157,20231120,1
4-157,20231121,1
4-157,20231122,1
4-157,20231127,1
4-157,20231128,1
4-157,20231129,1
4-157,20231130,1
4-157,20231201,1
4-157,20231204,1
4-157,20231205,1
4-157,20231206,1
4-157,20231207,1
4-157,20231208,1
4-157,20231211,1
4-157,20231212,1
4-157,20231213,1
4-157,20231214,1
4-157,20231215,1
4-157,20231218,1
4-157,20231219,1
4-157,20231220,1
4-157,20231221,1
4-157,20231222,1
4-157,20231226,1
4-157,20231227,1
4-157,20231228,1
4-157,20231229,1
4-157,20240102,1
4-157,20240103,1
4-157,20240104,1
4-157,20240105,1
4-157,20240108,1
4-157,20240109,1
4-157,20240110,1
4-157,20240111,1
4-157,20240112,1
5-157,20230831,1
6-157,20230901,1
7-157,20230909,1
7-157,20230916,1
7-157,20230923,1
7-157,20230930,1
7-157,20231007,1
7-157,20231014,1
7-157,20231021,1
