amenity,name,geometry,icon,color
bar,The Elephant Room,POINT (-97.7434984 30.2656227),beer,green
theatre,The Hideout Theater,POINT (-97.7422257 30.2685706),film,red
cafe,Starbucks,POINT (-97.7429695 30.2682668),coffee,green
cafe,Starbucks,POINT (-97.7411784 30.271876),coffee,green
place_of_worship,San Jose Church,POINT (-97.763337 30.2420102),institution,orange
place_of_worship,"St. Ignatius, Martyr",POINT (-97.7549513 30.2401193),institution,orange
place_of_worship,Friendship Church,POINT (-97.9544524 30.1590983),institution,orange
place_of_worship,Saint Marys Church,POINT (-97.6244443 30.0663274),institution,orange
place_of_worship,Oak Grove Church,POINT (-97.7941756 30.4196462),institution,orange
place_of_worship,Richland Church,POINT (-97.5338904 30.4229822),institution,orange
place_of_worship,Swanson Grove Church,POINT (-97.5063906 30.4988129),institution,orange
place_of_worship,Mimosa Place Church,POINT (-97.8061167 30.2021544),institution,orange
place_of_worship,Blessed Juan Diego Catholic Church,POINT (-97.5613878 30.134659),institution,orange
place_of_worship,Hays Hill Baptist Church,POINT (-97.8739101 30.1177511),institution,orange
place_of_worship,Rolling Hills Community Church,POINT (-97.9786251 30.4563089),institution,orange
place_of_worship,Grace United Methodist Church,POINT (-97.7496071 30.2482413),institution,orange
place_of_worship,Trinity United Methodist Church,POINT (-97.7197337 30.3129801),institution,orange
place_of_worship,The Church of Jesus Christ of Latter-day Saints,POINT (-97.5958332 30.1396585),institution,orange
place_of_worship,Hope Presbyterian Church,POINT (-97.8060409 30.4452533),institution,orange
place_of_worship,South Austin Seventh Day Adventist Church,POINT (-97.7784798 30.1976877),institution,orange
place_of_worship,The Unitarian Universalist Fellowship Church of Austin,POINT (-97.7777831 30.2213209),institution,orange
place_of_worship,Community Church of God,POINT (-97.7322307 30.3049255),institution,orange
place_of_worship,Fellowship of the Hills Church,POINT (-97.9286194 30.2318739),institution,orange
place_of_worship,Global Missions Fellowship Church,POINT (-97.8446494 30.2371361),institution,orange
place_of_worship,Imani Community Church,POINT (-97.8002864 30.3960359),institution,orange
place_of_worship,Fairview Church of Christ,POINT (-97.7750641 30.2097437),institution,orange
place_of_worship,North Loop Church of Christ,POINT (-97.734179 30.3235382),institution,orange
place_of_worship,United Church of God in Christ,POINT (-97.7016715 30.2279883),institution,orange
place_of_worship,South Austin Church of the Nazarene,POINT (-97.8061536 30.2049579),institution,orange
place_of_worship,Holy Trinity Episcopal Church,POINT (-97.7350046 30.2393764),institution,orange
place_of_worship,Decker United Methodist Church,POINT (-97.6167567 30.3097753),institution,orange
place_of_worship,Saint Olives Missionary Baptist Church,POINT (-97.7422299 30.3140915),institution,orange
place_of_worship,Scenic Hills Baptist Church,POINT (-97.9108414 30.2360406),institution,orange
place_of_worship,Sky View Baptist Church,POINT (-97.7213988 30.3229825),institution,orange
place_of_worship,South First Baptist Church,POINT (-97.7678678 30.2293763),institution,orange
place_of_worship,Southeast Baptist Church,POINT (-97.6947241 30.1018813),institution,orange
place_of_worship,Grace Fellowship Church Lago Vista,POINT (-97.9830458 30.4339482),institution,orange
place_of_worship,True Light Missionary Baptist Church,POINT (-97.6803237 30.2766628),institution,orange
place_of_worship,Holy Name of Mary Church,POINT (-97.7591119 30.247163),institution,orange
place_of_worship,Greater Galilee Baptist Church,POINT (-97.6804636 30.2767848),institution,orange
place_of_worship,Christ Apostolic Church,POINT (-97.6659846 30.3097016),institution,orange
place_of_worship,New Life Assembly of God Church,POINT (-97.7950924 30.1866916),institution,orange
place_of_worship,First Independent Baptist Church,POINT (-97.7688935 30.1732671),institution,orange
place_of_worship,Fitzhugh Baptist Church,POINT (-97.9725091 30.2302066),institution,orange
place_of_worship,Friendly Will Baptist Church,POINT (-97.7547274 30.2452093),institution,orange
place_of_worship,Goodwill Baptist Church,POINT (-97.7532294 30.2474243),institution,orange
place_of_worship,The Church Fellowship - Forest Creek,POINT (-97.6316722 30.4963116),institution,orange
place_of_worship,First Spiritualist Church,POINT (-97.7316642 30.3059703),institution,orange
